,NAME,state,bucket
35,District of Columbia,11,1.393118161463394
48,Maryland,24,1.4452560719394736
6,New Jersey,34,1.5047403998205102
36,Connecticut,09,1.6612708577058064
49,Massachusetts,25,1.7484471252566736
40,Hawaii,15,1.9005354878106064
32,California,06,1.9535745349220155
22,Virginia,51,2.009271152598848
29,Alaska,02,2.1455249826164695
5,New Hampshire,33,2.1458239784463404
23,Washington,53,2.352773662481161
33,Colorado,08,2.5226783416124414
8,New York,36,2.5492087542087543
51,Minnesota,27,2.833152664273613
41,Illinois,17,3.1197405458328236
21,Utah,49,3.162659174663407
34,Delaware,10,3.2296078931700265
19,Texas,48,3.6057253916740932
15,Rhode Island,44,3.7766693366343844
10,North Dakota,38,4.069438883486816
14,Pennsylvania,42,4.17974722839602
13,Oregon,41,4.303904364992323
38,Georgia,13,4.649381189844356
20,Vermont,50,4.852829309943337
30,Arizona,04,4.870725249079975
44,Kansas,20,5.079081772749739
37,Florida,12,5.114043194030873
4,Nevada,32,5.139659290550544
3,Nebraska,31,5.267708116777048
25,Wisconsin,55,5.370341787171646
26,Wyoming,56,5.48838675775092
50,Michigan,26,5.573979810077851
43,Iowa,19,5.708475850404059
9,North Carolina,37,5.77030364288096
11,Ohio,39,6.076076589422224
1,Missouri,29,6.218107153089485
17,South Dakota,46,6.300941141320585
47,Maine,23,6.482920878354827
18,Tennessee,47,6.866608189249801
2,Montana,30,6.958793317197001
42,Indiana,18,6.973990502498526
12,Oklahoma,40,7.229982273993416
39,Idaho,16,7.294180889665368
16,South Carolina,45,7.333259382993162
46,Louisiana,22,7.847790771048428
28,Alabama,01,8.690276818600369
7,New Mexico,35,8.824377230364133
45,Kentucky,21,9.024135841888949
31,Arkansas,05,10.12751392942425
24,West Virginia,54,12.872858890701469
0,Mississippi,28,13.343724805159903
27,Puerto Rico,72,73.64709793863399
